"Siim Susi",01.01.1976,EE,12.1,6.00,9.22,1.50,59.39,16.43,21.60,2.60,35.81, 5:25.72 
"Василий Пупин",21.10.1982,RU,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,5:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,-14.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Beata Kana",29.02.1982,ZA,13.04,4.53,7.79,1.55,1:04.72,18.74,24.20,2.40,28.20,6:50.76 
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,3.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Beata Kana",29.02.1982,ZA,13.04,4.53,7.79,1.55,1:04.72,18.74,24.20,2.40,28.20,6:50.76 
"Szőrös Szűk",3.04.1972,HU,13.75,4.84,10.12,1.50,1:08.44,19.18,30.85,2.80,33.88,6:22.75 
"Василий Пупкин",21.10.1980,UA,13.43,4.35,8.64,1.50,-1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Beata Kana",29.02.1982,ZA,13.04,4.53,7.79,1.55,1:04.72,18.74,24.20,2.40,28.20,6:50.76 
"Beata Kana",29.02.1982,ZA,13.04,4.53,7.79,1.55,1:04.72,18.74,24.20,2.40,28.20,6:50.76  
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Beata Kana",29.02.1982,ZA,13.04,4.53,7.79,1.55,1:04.72,18.74,24.20,2.40,28.20,6:50.76 
"Szőrös Szűk",3.04.1972,HU,13.75,4.84,10.12,1.50,1:08.44,19.18,30.85,2.80,33.88,6:22.75 
"Василий Пупкин",21.10.1980,UA,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Beata Kana",29.02.1982,ZA,13.04,4.53,7.79,1.55,1:04.72,18.74,24.20,2.40,28.20,6:50.76 
"Beata Kana",29.02.1982,ZA,13.04,4.53,7.79,1.55,1:04.72,18.74,24.20,2.40,28.20,6:50.76  
"Hatuna Mae",21.10.1985,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Somo Gomo",29.02.1982,ZA,13.04,4.53,7.79,1.55,1:04.72,18.74,24.20,2.40,28.20,6:50.76 
"Beata Kana",29.02.1982,ZA,13.04,4.53,7.79,1.55,1:04.72,18.74,24.20,2.40,28.20,6:50.76  
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
"Vello Pekka Nutt",21.10.1984,FI,13.43,4.35,8.64,1.50,1:06.06,19.05,24.89,2.20,33.48,6:51.01
